index	gene_id	gene_name	expressions	expression_rate	percentile
0	ENSG00000000003.15	TSPAN6	563	100.0	91.24806504839505
9019	ENSG00000147854.17	UHRF2	563	100.0	91.24806504839505
9000	ENSG00000147654.15	EBAG9	563	100.0	91.24806504839505
9002	ENSG00000147669.11	POLR2K	563	100.0	91.24806504839505
9004	ENSG00000147677.11	EIF3H	563	100.0	91.24806504839505
9005	ENSG00000147679.12	UTP23	563	100.0	91.24806504839505
9006	ENSG00000147684.10	NDUFB9	563	100.0	91.24806504839505
9007	ENSG00000147687.19	TATDN1	563	100.0	91.24806504839505
9013	ENSG00000147789.15	ZNF7	563	100.0	91.24806504839505
9016	ENSG00000147813.16	NAPRT	563	100.0	91.24806504839505
9018	ENSG00000147853.17	AK3	563	100.0	91.24806504839505
9024	ENSG00000147874.11	HAUS6	563	100.0	91.24806504839505
8996	ENSG00000147642.17	SYBU	563	100.0	91.24806504839505
17131	ENSG00000196636.8	SDHAF3	563	100.0	91.24806504839505
19683	ENSG00000204237.5	OXLD1	563	100.0	91.24806504839505
9030	ENSG00000147905.18	ZCCHC7	563	100.0	91.24806504839505
9032	ENSG00000147955.17	SIGMAR1	563	100.0	91.24806504839505
9034	ENSG00000148019.14	CEP78	563	100.0	91.24806504839505
17124	ENSG00000196605.7	ZNF846	563	100.0	91.24806504839505
9036	ENSG00000148057.16	IDNK	563	100.0	91.24806504839505
9038	ENSG00000148090.12	AUH	563	100.0	91.24806504839505
9039	ENSG00000148110.16	MFSD14B	563	100.0	91.24806504839505
8998	ENSG00000147649.10	MTDH	563	100.0	91.24806504839505
22718	ENSG00000214941.8	ZSWIM7	563	100.0	91.24806504839505
46132	ENSG00000263266.2	RPS7P1	563	100.0	91.24806504839505
53413	ENSG00000278845.5	MRPL45	563	100.0	91.24806504839505
17135	ENSG00000196652.12	ZKSCAN5	563	100.0	91.24806504839505
8965	ENSG00000147437.10	GNRH1	563	100.0	91.24806504839505
8966	ENSG00000147439.13	BIN3	563	100.0	91.24806504839505
17134	ENSG00000196646.12	ZNF136	563	100.0	91.24806504839505
8968	ENSG00000147454.14	SLC25A37	563	100.0	91.24806504839505
8969	ENSG00000147457.14	CHMP7	563	100.0	91.24806504839505
8970	ENSG00000147459.18	DOCK5	563	100.0	91.24806504839505
8972	ENSG00000147471.12	PLPBP	563	100.0	91.24806504839505
8973	ENSG00000147475.17	ERLIN2	563	100.0	91.24806504839505
17133	ENSG00000196642.19	RABL6	563	100.0	91.24806504839505
8992	ENSG00000147604.14	RPL7	563	100.0	91.24806504839505
8978	ENSG00000147526.20	TACC1	563	100.0	91.24806504839505
8979	ENSG00000147533.17	GOLGA7	563	100.0	91.24806504839505
8980	ENSG00000147535.17	PLPP5	563	100.0	91.24806504839505
8982	ENSG00000147548.17	NSD3	563	100.0	91.24806504839505
22723	ENSG00000214954.8	LRRC69	563	100.0	91.24806504839505
8987	ENSG00000147586.10	MRPS28	563	100.0	91.24806504839505
22721	ENSG00000214944.9	ARHGEF28	563	100.0	91.24806504839505
53405	ENSG00000278828.1	H3C10	563	100.0	91.24806504839505
8991	ENSG00000147601.15	TERF1	563	100.0	91.24806504839505
9040	ENSG00000148120.17	AOPEP	563	100.0	91.24806504839505
17121	ENSG00000196597.13	ZNF782	563	100.0	91.24806504839505
9374	ENSG00000151276.23	MAGI1	563	100.0	91.24806504839505
9087	ENSG00000148411.8	NACC2	563	100.0	91.24806504839505
9076	ENSG00000148356.14	LRSAM1	563	100.0	91.24806504839505
9078	ENSG00000148358.20	GPR107	563	100.0	91.24806504839505
9079	ENSG00000148362.11	PAXX	563	100.0	91.24806504839505
17119	ENSG00000196591.12	HDAC2	563	100.0	91.24806504839505
9081	ENSG00000148384.14	INPP5E	563	100.0	91.24806504839505
17117	ENSG00000196588.20	MRTFA	563	100.0	91.24806504839505
9083	ENSG00000148396.18	SEC16A	563	100.0	91.24806504839505
9084	ENSG00000148399.13	DPH7	563	100.0	91.24806504839505
9085	ENSG00000148400.12	NOTCH1	563	100.0	91.24806504839505
9089	ENSG00000148429.14	USP6NL	563	100.0	91.24806504839505
9072	ENSG00000148341.18	SH3GLB2	563	100.0	91.24806504839505
9090	ENSG00000148444.16	COMMD3	563	100.0	91.24806504839505
9091	ENSG00000148450.13	MSRB2	563	100.0	91.24806504839505
9092	ENSG00000148459.16	PDSS1	563	100.0	91.24806504839505
9093	ENSG00000148468.17	FAM171A1	563	100.0	91.24806504839505
9094	ENSG00000148481.14	MINDY3	563	100.0	91.24806504839505
17116	ENSG00000196586.16	MYO6	563	100.0	91.24806504839505
9097	ENSG00000148484.18	RSU1	563	100.0	91.24806504839505
9099	ENSG00000148498.16	PARD3	563	100.0	91.24806504839505
9103	ENSG00000148572.16	NRBF2	563	100.0	91.24806504839505
9073	ENSG00000148343.18	MIGA2	563	100.0	91.24806504839505
9071	ENSG00000148339.12	SLC25A25	563	100.0	91.24806504839505
9043	ENSG00000148143.13	ZNF462	563	100.0	91.24806504839505
9058	ENSG00000148248.14	SURF4	563	100.0	91.24806504839505
9044	ENSG00000148153.14	INIP	563	100.0	91.24806504839505
9045	ENSG00000148154.10	UGCG	563	100.0	91.24806504839505
9047	ENSG00000148158.17	SNX30	563	100.0	91.24806504839505
9049	ENSG00000148180.21	GSN	563	100.0	91.24806504839505
9050	ENSG00000148187.18	MRRF	563	100.0	91.24806504839505
46134	ENSG00000263272.1	AC004148.1	563	100.0	91.24806504839505
9054	ENSG00000148218.16	ALAD	563	100.0	91.24806504839505
9056	ENSG00000148225.16	WDR31	563	100.0	91.24806504839505
9057	ENSG00000148229.13	POLE3	563	100.0	91.24806504839505
9060	ENSG00000148290.10	SURF1	563	100.0	91.24806504839505
9070	ENSG00000148337.21	CIZ1	563	100.0	91.24806504839505
9061	ENSG00000148291.10	SURF2	563	100.0	91.24806504839505
9062	ENSG00000148296.7	SURF6	563	100.0	91.24806504839505
9063	ENSG00000148297.16	MED22	563	100.0	91.24806504839505
9064	ENSG00000148300.12	REXO4	563	100.0	91.24806504839505
9065	ENSG00000148303.17	RPL7A	563	100.0	91.24806504839505
9066	ENSG00000148308.18	GTF3C5	563	100.0	91.24806504839505
9067	ENSG00000148331.12	ASB6	563	100.0	91.24806504839505
9068	ENSG00000148334.16	PTGES2	563	100.0	91.24806504839505
9069	ENSG00000148335.15	NTMT1	563	100.0	91.24806504839505
22730	ENSG00000214975.4	PPIAP29	563	100.0	91.24806504839505
8962	ENSG00000147421.18	HMBOX1	563	100.0	91.24806504839505
8961	ENSG00000147419.19	CCDC25	563	100.0	91.24806504839505
8876	ENSG00000146776.14	ATXN7L1	563	100.0	91.24806504839505
8865	ENSG00000146677.7	AC004453.1	563	100.0	91.24806504839505
31247	ENSG00000234127.9	TRIM26	563	100.0	91.24806504839505
17150	ENSG00000196693.15	ZNF33B	563	100.0	91.24806504839505
8868	ENSG00000146701.12	MDH2	563	100.0	91.24806504839505
8869	ENSG00000146707.14	POMZP3	563	100.0	91.24806504839505
8871	ENSG00000146729.10	NIPSNAP2	563	100.0	91.24806504839505
8872	ENSG00000146731.11	CCT6A	563	100.0	91.24806504839505
8873	ENSG00000146733.14	PSPH	563	100.0	91.24806504839505
8875	ENSG00000146757.14	ZNF92	563	100.0	91.24806504839505
17149	ENSG00000196689.12	TRPV1	563	100.0	91.24806504839505
8860	ENSG00000146648.19	EGFR	563	100.0	91.24806504839505
8879	ENSG00000146826.17	MAP11	563	100.0	91.24806504839505
8880	ENSG00000146828.18	SLC12A9	563	100.0	91.24806504839505
8881	ENSG00000146830.11	GIGYF1	563	100.0	91.24806504839505
8882	ENSG00000146833.16	TRIM4	563	100.0	91.24806504839505
8883	ENSG00000146834.14	MEPCE	563	100.0	91.24806504839505
17148	ENSG00000196684.12	HSH2D	563	100.0	91.24806504839505
8885	ENSG00000146842.17	TMEM209	563	100.0	91.24806504839505
8886	ENSG00000146856.14	AGBL3	563	100.0	91.24806504839505
8888	ENSG00000146858.8	ZC3HAV1L	563	100.0	91.24806504839505
8864	ENSG00000146676.10	PURB	563	100.0	91.24806504839505
8857	ENSG00000146587.18	RBAK	563	100.0	91.24806504839505
8960	ENSG00000147416.11	ATP6V1B2	563	100.0	91.24806504839505
8842	ENSG00000146433.9	TMEM181	563	100.0	91.24806504839505
22767	ENSG00000215067.10	ALOX12-AS1	563	100.0	91.24806504839505
8829	ENSG00000146376.11	ARHGAP18	563	100.0	91.24806504839505
17153	ENSG00000196704.13	AMZ2	563	100.0	91.24806504839505
8833	ENSG00000146386.8	ABRACL	563	100.0	91.24806504839505
8835	ENSG00000146409.12	SLC18B1	563	100.0	91.24806504839505
8838	ENSG00000146414.16	SHPRH	563	100.0	91.24806504839505
8839	ENSG00000146416.19	AIG1	563	100.0	91.24806504839505
8840	ENSG00000146425.11	DYNLT1	563	100.0	91.24806504839505
8841	ENSG00000146426.18	TIAM2	563	100.0	91.24806504839505
8844	ENSG00000146457.16	WTAP	563	100.0	91.24806504839505
8856	ENSG00000146576.13	C7orf26	563	100.0	91.24806504839505
8845	ENSG00000146463.12	ZMYM4	563	100.0	91.24806504839505
22759	ENSG00000215041.10	NEURL4	563	100.0	91.24806504839505
8847	ENSG00000146476.11	ARMT1	563	100.0	91.24806504839505
17152	ENSG00000196700.9	ZNF512B	563	100.0	91.24806504839505
17151	ENSG00000196696.13	PDXDC2P-NPIPB14P	563	100.0	91.24806504839505
8851	ENSG00000146535.14	GNA12	563	100.0	91.24806504839505
8852	ENSG00000146540.15	C7orf50	563	100.0	91.24806504839505
8854	ENSG00000146556.14	WASH2P	563	100.0	91.24806504839505
8855	ENSG00000146574.16	CCZ1B	563	100.0	91.24806504839505
8889	ENSG00000146859.6	TMEM140	563	100.0	91.24806504839505
8890	ENSG00000146872.18	TLK2	563	100.0	91.24806504839505
8891	ENSG00000146904.9	EPHA1	563	100.0	91.24806504839505
8944	ENSG00000147251.15	DOCK11	563	100.0	91.24806504839505
8931	ENSG00000147164.12	SNX12	563	100.0	91.24806504839505
8932	ENSG00000147166.11	ITGB1BP2	563	100.0	91.24806504839505
19680	ENSG00000204227.5	RING1	563	100.0	91.24806504839505
8934	ENSG00000147174.11	GCNA	563	100.0	91.24806504839505
8937	ENSG00000147202.18	DIAPH2	563	100.0	91.24806504839505
17141	ENSG00000196663.16	TECPR2	563	100.0	91.24806504839505
8940	ENSG00000147224.13	PRPS1	563	100.0	91.24806504839505
8941	ENSG00000147231.14	RADX	563	100.0	91.24806504839505
17139	ENSG00000196659.10	TTC30B	563	100.0	91.24806504839505
19682	ENSG00000204231.11	RXRB	563	100.0	91.24806504839505
8892	ENSG00000146909.8	NOM1	563	100.0	91.24806504839505
8949	ENSG00000147274.14	RBMX	563	100.0	91.24806504839505
8950	ENSG00000147316.13	MCPH1	563	100.0	91.24806504839505
8951	ENSG00000147324.11	MFHAS1	563	100.0	91.24806504839505
17137	ENSG00000196655.12	TRAPPC4	563	100.0	91.24806504839505
8955	ENSG00000147383.11	NSDHL	563	100.0	91.24806504839505
8956	ENSG00000147394.18	ZNF185	563	100.0	91.24806504839505
8957	ENSG00000147400.10	CETN2	563	100.0	91.24806504839505
8958	ENSG00000147403.18	RPL10	563	100.0	91.24806504839505
8959	ENSG00000147408.14	CSGALNACT1	563	100.0	91.24806504839505
8930	ENSG00000147162.14	OGT	563	100.0	91.24806504839505
19679	ENSG00000204220.12	PFDN6	563	100.0	91.24806504839505
8928	ENSG00000147155.11	EBP	563	100.0	91.24806504839505
8926	ENSG00000147144.13	CCDC120	563	100.0	91.24806504839505
22754	ENSG00000215030.5	RPL13P12	563	100.0	91.24806504839505
8894	ENSG00000146918.20	NCAPG2	563	100.0	91.24806504839505
17147	ENSG00000196683.11	TOMM7	563	100.0	91.24806504839505
22751	ENSG00000215022.7	AL008729.1	563	100.0	91.24806504839505
8899	ENSG00000146963.18	LUC7L2	563	100.0	91.24806504839505
22750	ENSG00000215021.10	PHB2	563	100.0	91.24806504839505
8902	ENSG00000147010.18	SH3KBP1	563	100.0	91.24806504839505
17146	ENSG00000196678.14	ERI2	563	100.0	91.24806504839505
8906	ENSG00000147044.22	CASK	563	100.0	91.24806504839505
22746	ENSG00000215012.9	RTL10	563	100.0	91.24806504839505
17145	ENSG00000196670.14	ZFP62	563	100.0	91.24806504839505
8912	ENSG00000147099.21	HDAC8	563	100.0	91.24806504839505
8916	ENSG00000147118.12	ZNF182	563	100.0	91.24806504839505
8918	ENSG00000147121.16	KRBOX4	563	100.0	91.24806504839505
8919	ENSG00000147123.11	NDUFB11	563	100.0	91.24806504839505
8920	ENSG00000147124.12	ZNF41	563	100.0	91.24806504839505
8922	ENSG00000147130.14	ZMYM3	563	100.0	91.24806504839505
8923	ENSG00000147133.16	TAF1	563	100.0	91.24806504839505
8925	ENSG00000147140.17	NONO	563	100.0	91.24806504839505
17112	ENSG00000196576.15	PLXNB2	563	100.0	91.24806504839505
17110	ENSG00000196569.13	LAMA2	563	100.0	91.24806504839505
9108	ENSG00000148606.13	POLR3A	563	100.0	91.24806504839505
9293	ENSG00000150456.11	EEF1AKMT1	563	100.0	91.24806504839505
17076	ENSG00000196465.10	MYL6B	563	100.0	91.24806504839505
9284	ENSG00000150316.12	CWC15	563	100.0	91.24806504839505
19694	ENSG00000204264.12	PSMB8	563	100.0	91.24806504839505
9286	ENSG00000150347.16	ARID5B	563	100.0	91.24806504839505
17074	ENSG00000196459.14	TRAPPC2	563	100.0	91.24806504839505
9289	ENSG00000150401.15	DCUN1D2	563	100.0	91.24806504839505
9290	ENSG00000150403.18	TMCO3	563	100.0	91.24806504839505
9291	ENSG00000150433.9	TMEM218	563	100.0	91.24806504839505
9292	ENSG00000150455.13	TIRAP	563	100.0	91.24806504839505
9294	ENSG00000150457.9	LATS2	563	100.0	91.24806504839505
9275	ENSG00000150093.20	ITGB1	563	100.0	91.24806504839505
9295	ENSG00000150459.12	SAP18	563	100.0	91.24806504839505
9297	ENSG00000150477.15	KIAA1328	563	100.0	91.24806504839505
9299	ENSG00000150527.17	MIA2	563	100.0	91.24806504839505
9300	ENSG00000150540.14	HNMT	563	100.0	91.24806504839505
9303	ENSG00000150593.18	PDCD4	563	100.0	91.24806504839505
31518	ENSG00000234545.8	FAM133B	563	100.0	91.24806504839505
17072	ENSG00000196456.13	ZNF775	563	100.0	91.24806504839505
17071	ENSG00000196455.8	PIK3R4	563	100.0	91.24806504839505
17070	ENSG00000196453.8	ZNF777	563	100.0	91.24806504839505
31502	ENSG00000234518.2	PTGES3P1	563	100.0	91.24806504839505
9274	ENSG00000150054.18	MPP7	563	100.0	91.24806504839505
17086	ENSG00000196502.12	SULT1A1	563	100.0	91.24806504839505
9256	ENSG00000149806.11	FAU	563	100.0	91.24806504839505
9244	ENSG00000149657.20	LSM14B	563	100.0	91.24806504839505
9245	ENSG00000149658.18	YTHDF1	563	100.0	91.24806504839505
9246	ENSG00000149679.11	CABLES2	563	100.0	91.24806504839505
9247	ENSG00000149716.13	LTO1	563	100.0	91.24806504839505
9250	ENSG00000149743.14	TRPT1	563	100.0	91.24806504839505
9251	ENSG00000149761.9	NUDT22	563	100.0	91.24806504839505
9252	ENSG00000149781.13	FERMT3	563	100.0	91.24806504839505
9253	ENSG00000149782.13	PLCB3	563	100.0	91.24806504839505
9254	ENSG00000149792.9	MRPL49	563	100.0	91.24806504839505
9257	ENSG00000149809.16	TM7SF2	563	100.0	91.24806504839505
31492	ENSG00000234500.1	AC008267.3	563	100.0	91.24806504839505
9258	ENSG00000149823.9	VPS51	563	100.0	91.24806504839505
9260	ENSG00000149923.14	PPP4C	563	100.0	91.24806504839505
9261	ENSG00000149925.22	ALDOA	563	100.0	91.24806504839505
9264	ENSG00000149929.16	HIRIP3	563	100.0	91.24806504839505
9265	ENSG00000149930.18	TAOK2	563	100.0	91.24806504839505
9266	ENSG00000149932.17	TMEM219	563	100.0	91.24806504839505
17082	ENSG00000196476.12	C20orf96	563	100.0	91.24806504839505
46151	ENSG00000263327.6	TAPT1-AS1	563	100.0	91.24806504839505
17079	ENSG00000196470.12	SIAH1	563	100.0	91.24806504839505
9316	ENSG00000150687.12	PRSS23	563	100.0	91.24806504839505
9317	ENSG00000150712.11	MTMR12	563	100.0	91.24806504839505
17069	ENSG00000196449.4	YRDC	563	100.0	91.24806504839505
9360	ENSG00000151135.10	TMEM263	563	100.0	91.24806504839505
19696	ENSG00000204271.13	SPIN3	563	100.0	91.24806504839505
9351	ENSG00000151065.14	DCP1B	563	100.0	91.24806504839505
22644	ENSG00000214753.4	HNRNPUL2	563	100.0	91.24806504839505
9354	ENSG00000151090.20	THRB	563	100.0	91.24806504839505
9355	ENSG00000151092.18	NGLY1	563	100.0	91.24806504839505
9356	ENSG00000151093.8	OXSM	563	100.0	91.24806504839505
9357	ENSG00000151116.17	UEVLD	563	100.0	91.24806504839505
9358	ENSG00000151117.9	TMEM86A	563	100.0	91.24806504839505
9359	ENSG00000151131.11	C12orf45	563	100.0	91.24806504839505
9362	ENSG00000151148.14	UBE3B	563	100.0	91.24806504839505
53192	ENSG00000278311.5	GGNBP2	563	100.0	91.24806504839505
9363	ENSG00000151150.22	ANK3	563	100.0	91.24806504839505
9364	ENSG00000151151.6	IPMK	563	100.0	91.24806504839505
17062	ENSG00000196428.12	TSC22D2	563	100.0	91.24806504839505
9366	ENSG00000151176.8	PLBD2	563	100.0	91.24806504839505
9367	ENSG00000151208.17	DLG5	563	100.0	91.24806504839505
9369	ENSG00000151229.13	SLC2A13	563	100.0	91.24806504839505
9370	ENSG00000151233.11	GXYLT1	563	100.0	91.24806504839505
9371	ENSG00000151239.14	TWF1	563	100.0	91.24806504839505
